Timestamp,CPU_Usage,RAM_Usage,GPU_Usage
2024-08-07 14:51:32.490639,3.9,65.7,9.0
2024-08-07 14:51:33.589457,2.4,65.8,4.0
2024-08-07 14:51:34.686442,1.7,65.8,3.0
2024-08-07 14:51:35.794457,1.8,65.8,2.0
2024-08-07 14:51:36.903941,1.3,65.8,2.0
2024-08-07 14:51:38.027910,4.5,65.8,4.0
2024-08-07 14:51:39.151134,4.1,66.0,6.0
2024-08-07 14:51:40.259693,3.0,65.9,2.0
2024-08-07 14:51:41.367554,2.2,66.2,3.0
2024-08-07 14:51:42.478917,3.1,66.0,3.0
2024-08-07 14:51:43.584681,2.7,65.9,3.0
2024-08-07 14:51:44.686119,2.8,65.9,4.0
2024-08-07 14:51:45.793262,3.1,66.0,3.0
2024-08-07 14:51:46.898742,2.3,66.1,2.0
2024-08-07 14:51:48.008520,2.7,66.0,6.0
2024-08-07 14:51:49.116619,1.6,66.0,6.0
2024-08-07 14:51:50.226238,2.3,66.0,6.0
2024-08-07 14:51:51.345554,3.1,66.1,3.0
2024-08-07 14:51:52.443575,3.1,66.1,3.0
2024-08-07 14:51:53.554710,3.4,66.2,12.0
2024-08-07 14:51:54.681507,4.8,66.3,4.0
2024-08-07 14:51:55.795850,3.2,66.5,6.0
2024-08-07 14:51:56.898041,2.2,66.6,6.0
2024-08-07 14:51:57.998835,1.2,66.6,3.0
2024-08-07 14:51:59.111144,3.1,66.6,3.0
2024-08-07 14:52:00.212052,2.6,66.5,3.0
2024-08-07 14:52:01.323415,3.0,66.4,3.0
2024-08-07 14:52:02.432873,1.5,66.5,3.0
2024-08-07 14:52:03.531242,2.3,66.3,5.0
2024-08-07 14:52:04.637184,1.8,66.3,3.0
2024-08-07 14:52:05.735590,3.2,66.3,3.0
2024-08-07 14:52:06.837510,2.5,66.4,6.0
2024-08-07 14:52:07.932959,3.0,66.4,3.0
2024-08-07 14:52:09.027326,1.3,66.5,3.0
2024-08-07 14:52:10.135245,0.5,66.5,0.0
2024-08-07 14:52:11.252760,1.4,66.5,0.0
2024-08-07 14:52:12.366323,0.7,66.5,0.0
2024-08-07 14:52:13.468592,1.0,66.5,0.0
2024-08-07 14:52:14.577446,0.8,66.5,0.0
2024-08-07 14:52:15.676278,0.6,66.5,0.0
2024-08-07 14:52:16.768342,0.8,66.5,0.0
2024-08-07 14:52:17.860944,1.2,66.5,0.0
2024-08-07 14:52:18.953798,0.4,66.5,0.0
2024-08-07 14:52:20.063115,1.2,66.4,0.0
2024-08-07 14:52:21.154939,1.4,66.4,0.0
2024-08-07 14:52:22.257498,1.1,66.4,0.0
2024-08-07 14:52:23.368853,1.7,66.4,0.0
2024-08-07 14:52:24.474616,0.7,66.5,0.0
2024-08-07 14:52:25.575578,1.4,66.5,0.0
2024-08-07 14:52:26.680901,0.4,66.5,0.0
2024-08-07 14:52:27.785982,1.4,66.6,0.0
2024-08-07 14:52:28.878947,1.2,66.6,0.0
2024-08-07 14:52:29.984239,1.0,66.6,1.0
